oclc	local_id	item_type	access	rights
43805401	3256140	mono		
44642991	3256141	mono		
43605090	3256144	mono		
44055762	3256145	mono		
43246025	3256146	mono		
17083236	325615	mono		
47643405	3256151	mono	deny	ic
42750721	3256152	mono		
44044523	3256153	mono	deny	ic
45310848	3256154	mono		
46565875	3256155	mono		
45276558	3256157	mono		
44568810	3256159	mono		
13396081	325616	mono	deny	ic
44545993	3256163	mono		
49530407	3256166	mono	deny	ic
1115693	3256168	multi	deny	ic
44850215	3256169	mono		
31742423	325617	mono		
175764483	325617	mono		
42832018	3256170	mono	deny	ic
1037386	3256171	multi	deny	ic
4962313	3256175	mono		
44611743	3256176	mono		
44090472	3256177	mono		
1050152	3256178	multi	deny	ic
10976339	325618	mono		
2329974	3256180	multi	allow	pdus
44809524	3256181	mono		
486483	3256182	multi	deny	ic
43969632	3256183	mono		
13123692	325619	multi	deny	ic
44568540	3256190	mono		
18373475	3256193	multi	allow	pd
44518515	3256195	mono	deny	ic
743954	3256196	multi		
48751622	3256197	mono	deny	ic
6280330	32562	mono	deny	ic
6280330	32562	multi	deny	ic
12307793	325620	mono	deny	ic
45201014	3256202	mono		
39395927	3256204	multi	deny	ic
2470734	3256205	multi	allow	pd
178354605	3256206	mono		
43572754	3256208	mono	deny	ic
8629674	325621	mono	deny	ic
44753097	3256211	mono	deny	ic
43484675	3256212	mono		
43808447	3256216	multi	deny	und
41131549	3256217	mono		
44418896	3256219	mono		
13184807	325622	multi	deny	ic
44419104	3256222	mono		
43371409	3256227	serial	deny	ic
45149060	3256228	mono	deny	ic
12285813	325623	mono	deny	ic
45021613	3256231	mono		
45148952	3256232	mono	deny	ic
43981021	3256233	mono		
178354731	3256234	mono		
49373493	3256237	mono	deny	ic
44418865	3256238	mono	deny	ic
13395633	325624	mono		
43676804	3256240	mono	deny	ic
178354773	3256241	mono		
44444531	3256242	mono		
44444434	3256245	mono		
44135553	3256246	mono	deny	ic
44418919	3256248	mono		
45038946	3256249	mono		
11092344	325625	mono		
44181459	3256252	mono	deny	ic
43471648	3256253	mono	deny	ic
47640609	3256257	multi	deny	ic
44444588	3256258	mono	deny	ic
44491360	3256259	mono		
13423206	325626	mono		
41273057	3256260	mono		
42873410	3256261	mono		
44491377	3256262	mono		
357564	3256263	mono	deny	ic
45316917	3256265	mono	deny	ic
44418904	3256266	mono	deny	ic
44418823	3256269	mono	deny	ic
13823153	325627	mono		
45208843	3256270	mono	deny	ic
40948520	3256271	mono		
42678915	3256273	mono	deny	ic
469456	3256274	mono		
44181594	3256277	mono	deny	ic
44255823	3256278	mono		
41439635	3256279	mono		
16139779	325628	mono		
44491497	3256280	mono		
44807854	3256282	mono	deny	ic
44841535	3256285	mono		
44444481	3256286	mono		
44084195	3256287	mono		
44516044	3256288	mono		
